Reaction_type,P,S1,S2
SNAr,O=C(C1=CC=CC=C1)C2=CC=CC=C2N(CCC3)CC3C,CC1CNCCC1,O=C(C1=CC=CC=C1F)C2=CC=CC=C2
SNAr,N#CC1=CC=C(N(CC2)CCN2CCCC)C=C1C,CCCCN1CCNCC1,N#CC1=CC=C(F)C=C1C
SNAr,N#CC1=CC=C(N(CCC2)CC2C)N=C1,CC1CNCCC1,N#CC1=CC=C(Cl)N=C1
SNAr,N#CC1=CC(N(CCC2)CC2C)=NC=C1,CC1CNCCC1,N#CC1=CC(Cl)=NC=C1
SNAr,C12CCCN(C3=NC=CN=C3)C1CCCC2,C12CCCNC1CCCC2,FC1=NC=CN=C1
SNAr,COC1=C(N(CCC2)CC2C)C=NC(OC)=N1,CC1CNCCC1,COC(N=C1OC)=C(C=N1)Br
SNAr,N#CC1=CN=C(NC2CCCCC2)C=C1,NC1CCCCC1,N#CC1=CN=C(Br)C=C1
SNAr,CCC1=CN=C(N(C)CCC)N=C1,CCCNC,CCC1=CN=C(Cl)N=C1
SNAr,N#CC1=CC=CN=C1N(CCC2)CC2C,CC1CNCCC1,N#CC1=CC=CN=C1F
SNAr,O=C(OCC)C1=CN=C(NCC2=CC=CC=C2F)N=C1,NCC1=CC=CC=C1F,O=C(C1=CN=C(Cl)N=C1)OCC
SNAr,O=C(OCC)C1=CN=C(NC2=CC=CC(C)=C2C)N=C1,NC1=CC=CC(C)=C1C,O=C(C1=CN=C(Cl)N=C1)OCC
SNAr,C1(NC2CCCCC2)=CN=C(N3CCOCC3)C=C1,NC1CCCCC1,BrC1=CN=C(C=C1)N2CCOCC2
SNAr,N#CC1=CN=C(N(CCC2)CC2C)C=C1,CC1CNCCC1,N#CC1=CN=C(Br)C=C1
SNAr,CC1=CC=CN=C1N(CCC2)C2CO,OCC1NCCC1,CC1=CC=CN=C1Br
SNAr,O=[N+]([O-])C1=CC=C(NC2=CC=C(N=C2)OC)N=C1C,NC1=CC=C(OC)N=C1,O=[N+](C1=CC=C(F)N=C1C)[O-]
SNAr,CC1=CN=C(N2C(C=CN=C3)=C3C=C2)N=C1,C12=C(NC=C2)C=CN=C1,CC1=CN=C(Cl)N=C1
SNAr,CC1=CC=CC(NC2=CC(C(C)=O)=CC=C2)=N1,NC1=CC(C(C)=O)=CC=C1,CC1=CC=CC(F)=N1
SNAr,N#CC1=CC=CN=C1NC2=CC=CC(C)=C2C,NC1=CC=CC(C)=C1C,N#CC1=CC=CN=C1F
SNAr,O=[N+]([O-])C1=CN=C(NC2=CC(C#C)=CC=C2)C(C)=C1,C#CC1=CC=CC(N)=C1,O=[N+](C1=CN=C(F)C(C)=C1)[O-]
SNAr,N#CC1=CC=C(N2C(C)=CC3=C2C=CC=C3)C=C1C(F)(F)F,CC(N1)=CC2=C1C=CC=C2,N#CC1=CC=C(F)C=C1C(F)(F)F
SNAr,CC1=CN=C(N2C(C=CN=C3)=C3C=C2)N=C1,C12=C(NC=C2)C=CN=C1,CC1=CN=C(Br)N=C1
