Reaction_type,P,S1,S2,Exp_method,Pro_RT,Sub1_RT,Sub2_RT,exp-RT-P,exp-RT-S1,exp-RT-S2
SNAr,O=C(C1=CC=CC=C1)C2=CC=CC=C2N(CCC3)CC3C,CC1CNCCC1,O=C(C1=CC=CC=C1F)C2=CC=CC=C2,AM-I,1.56,0.27,1.31,93.6,16.2,78.6
SNAr,N#CC1=CC=C(N(CC2)CCN2CCCC)C=C1C,CCCCN1CCNCC1,N#CC1=CC=C(F)C=C1C,AM-I,0.9,0.15,1.26,54,9,75.6
SNAr,N#CC1=CC=C(N(CCC2)CC2C)N=C1,CC1CNCCC1,N#CC1=CC=C(Cl)N=C1,AM-I,1.37,0.27,0.85,82.2,16.2,51
SNAr,N#CC1=CC(N(CCC2)CC2C)=NC=C1,CC1CNCCC1,N#CC1=CC(Cl)=NC=C1,AM-I,1.43,0.27,0.89,85.8,16.2,53.4
SNAr,C12CCCN(C3=NC=CN=C3)C1CCCC2,C12CCCNC1CCCC2,FC1=NC=CN=C1,AM-I,1.38,0.19,0.34,82.8,11.4,20.4
SNAr,COC1=C(N(CCC2)CC2C)C=NC(OC)=N1,CC1CNCCC1,COC(N=C1OC)=C(C=N1)Br,AM-I,0.94,0.27,1.16,56.4,16.2,69.6
SNAr,N#CC1=CN=C(NC2CCCCC2)C=C1,NC1CCCCC1,N#CC1=CN=C(Br)C=C1,AM-I,1.27,0.31,0.47,76.2,18.6,28.2
SNAr,CCC1=CN=C(N(C)CCC)N=C1,CCCNC,CCC1=CN=C(Cl)N=C1,AM-I,1.09,0.22,0.95,65.4,13.2,57
Chan-Lam,O=CC1=CC=CC=C1NC2=CN=C(OC)C=C2,O=CC1=CC=CC=C1N,OB(O)C1=CN=C(C=C1)OC,AM-I,1.29,0.92,0.34,77.4,55.2,20.4
Chan-Lam,CSC1=CC(NC2=CN=C(OC)C=C2)=CC=C1,NC1=CC=CC(SC)=C1,OB(O)C1=CN=C(C=C1)OC,AM-I,1.25,0.63,0.34,75,37.8,20.4
Chan-Lam,FC(F)(F)C1=NC=C(NC2=CC=C(C)C(I)=C2)C=C1,NC1=CC=C(C(I)=C1)C,OB(O)C1=CN=C(C=C1)C(F)(F)F,AM-I,1.544,1.05,0.8925,92.64,63,53.55
Chan-Lam,IC1=CC=C(C)C(NC2=CC=CC(NC(C)=O)=C2)=C1,NC1=CC(I)=CC=C1C,OB(O)C1=CC=CC(NC(C)=O)=C1,AM-I,1.37,1.234,0.3767,82.2,74.04,22.602
Chan-Lam,CCOC1=CC=C(NCC23CC4CC(C3)CC(C4)C2)C=N1,NCC12CC3CC(CC(C2)C3)C1,CCOC1=CC=C(C=N1)B(O)O,AM-I,1.62,0.84,0.6,97.2,50.4,36
Chan-Lam,FC1=NC=C(NC2=CC=C(C)C=C2C)C=C1,NC1=CC=C(C=C1C)C,OB(O)C1=CN=C(C=C1)F,AM-II,1.16,0.66,0.64,69.6,39.6,38.4
Chan-Lam,CCOC1=CC=C(N2C=NC3=CC(C)=CC=C32)C=N1,CC1=CC=C2C(N=CN2)=C1,CCOC1=CC=C(C=N1)B(O)O,AM-IV,1.09,0.64,0.85,65.4,38.4,51
Chan-Lam,CCOC1=CC=C(C=N1)NC2=CC=C(C(C)=C2)OC,NC1=CC=C(C(C)=C1)OC,CCOC1=CC=C(C=N1)B(O)O,AM-IV,1.11,0.65,0.85,66.6,39,51
Carboxylic-Acid-Esterification,O=C(Cc1c(F)cc(F)c(F)c1)OC2CN(CCC2)CC,OC1CN(CC)CCC1,O=C(O)Cc1cc(F)c(F)cc1F,AM-I,0.89,0.17,1.01,53.4,10.2,60.6
Carboxylic-Acid-Esterification,O=C(Cc1c(F)cc(F)c(F)c1)OCC2=CC=CN=C2OC,OCC1=CC=CN=C1OC,O=C(O)Cc1cc(F)c(F)cc1F,AM-I,1.37,0.51,1.01,82.2,30.6,60.6
Carboxylic-Acid-Esterification,O=C(OCC1OCCC1)C2=CC=NN2C(C)C,OCC1OCCC1,O=C(C1=CC=NN1C(C)C)O,AM-I,1.18,0.19,0.83,70.8,11.4,49.8
Carboxylic-Acid-Esterification,O=C(OCC1=NC=CC(Cl)=C1)COC2=CC=CC=C2,OCC1=NC=CC(Cl)=C1,O=C(COC1=CC=CC=C1)O,AM-I,1.28,0.38,0.88,76.8,22.8,52.8
Carboxylic-Acid-Esterification,O=C(C1CC2=C(C=CC=C2)C1)OCC3=CC=CN=C3OC,OCC1=CC=CN=C1OC,O=C(O)C1CC2=C(C1)C=CC=C2,AM-I,1.43,0.5,1.09,85.8,30,65.4
Carboxylic-Acid-Esterification,O=C(OCC1=CC(Cl)=NC(Cl)=C1)C2=C(C)C=C(C)C=C2C,OCC1=CC(Cl)=NC(Cl)=C1,O=C(C1=C(C=C(C=C1C)C)C)O,AM-I,1.61,0.92,1.13,96.6,55.2,67.8
Carboxylic-Acid-Esterification,FC1=CC(F)=CC(CC(OCC2=CC=CN=C2OC)=O)=C1,OCC1=CC=CN=C1OC,OC(CC1=CC(F)=CC(F)=C1)=O,AM-I,1.36,0.5,1.02,81.6,30,61.2
Carboxylic-Acid-Esterification,O=C(OCC(CC1)CCN1C(OCC2=CC=CC=C2)=O)C3=CC=C(OC)C=C3OC,O=C(N1CCC(CO)CC1)OCC2=CC=CC=C2,O=C(C1=CC=C(C=C1OC)OC)O,AM-I,1.42,1.1,0.89,85.2,66,53.4
B-H,COC(=O)c1ccccc1Nc1ccc2nccnc2c1,NC1=CC=C2N=CC=NC2=C1,O=C(OC)C1=CC=CC=C1Br,AM-VI,1.56,0.45,1.496,93.6,27,89.76
B-H,Cc1ccc(Nc2cncc3ccccc23)cc1,NC1=CC=C(C)C=C1,BrC1=CN=CC2=C1C=CC=C2,AM-III,1.09,0.2967,1.39,65.4,17.802,83.4
B-H,COC(=O)c1ccccc1Nc1ccc(OC)nc1,NC1=CC=C(OC)N=C1,O=C(OC)C1=CC=CC=C1Br,AM-VI,1.67,0.2267,1.496,100.2,13.602,89.76
B-H,Cc1ccccc1Nc1ccc2nccnc2c1,NC1=CC=C2N=CC=NC2=C1,CC1=CC=CC=C1Br,AM-VI,1.46,0.45,1.71,87.6,27,102.6
B-H,CC1=CC(C)=NC(NC2=CC=C(C=N2)OC)=N1,NC1=NC(C)=CC(C)=N1,COc1cnc(Br)cc1,AM-I,0.74,0.18,1.02,44.4,10.8,61.2
B-H,CC1=CC(C)=CC(NC(C=C2)=NC=C2C)=N1,CC1=CC(C)=CC(N)=N1,CC1=CN=C(Br)C=C1,AM-I,0.88,0.2,1.07,52.8,12,64.2
B-H,COC(C(C)=C1)=CC=C1NC2=CN=C(SC)N=C2C(OC)=O,NC1=CC=C(OC)C(C)=C1,O=C(C1=NC(SC)=NC=C1Br)OC,AM-I,1.41,0.2,1.17,84.6,12,70.2
B-H,O=CC(S1)=CN=C1NC2=CN=CC3=C2C=CC=C3,NC1=NC=C(C=O)S1,BrC1=CN=CC2=C1C=CC=C2,AM-I,0.81,0.24,1.23,48.6,14.4,73.8
acylation,COc1ccc(NC(=O)c2ccc3nccnc3c2)cn1,COc1ccc(N)cn1,O=C(O)c1ccc2nccnc2c1,AM-I,0.9783,0.2258,0.7308,58.698,13.548,43.848
