SMILES,UV_RT-s,Method
BrC(C=C1)=CC=C1C(C2=CC=CC=C2N=C3CCC)=C3CC,103.8,AM-V
CCN1C2=C(C=C(C=C2)NC(CN3C=CC4=C3C=CC=C4)=O)C5=C1C=CC=C5,99,AM-V
C1(NC2=CC=CC=C2)=CC=CC=C1,97.2,AM-V
C1(NC2=CC=CC=C2)=CC=CC=C1,97.2,AM-V
C1(NC2=CC=CC=C2)=CC=CC=C1,97.2,AM-V
C1(NC2=CC=CC=C2)=CC=CC=C1,97.2,AM-V
C1(NC2=CC=CC=C2)=CC=CC=C1,96.6,AM-V
C1(NC2=CC=CC=C2)=CC=CC=C1,96.6,AM-V
O=C(NC1=CC=C(C=C1)N2N=CC=C2)C3C4=C(C=CC=C4)OC5=C3C=CC=C5,96.6,AM-V
CC1=C(C2=CC(Cl)=CC=C2)N=CC([N+]([O-])=O)=C1,93.6,AM-V
CC1=C(C2=CC(Cl)=CC=C2)N=CC([N+]([O-])=O)=C1,93.6,AM-V
Cc1ccc(Nc2ccc3scnc3c2)cc1,93,AM-V
O=C(NC1CCCC2=C1C=CC=C2)CC3=CN(C4=C3C=CC=C4)C,91.2,AM-V
CC(=O)c1ccc(Nc2ccc(C)cc2C(O)=O)c(C)c1,91.2,AM-V
CC1=CC=C(C2=CC=C3NN=CC3=C2)C=C1,88.8,AM-V
O=C(C1=C(C=CC=C1OC(C=C2)=NC=C2C(OC)=O)C)OCC,88.8,AM-V
CC(C1=CC=C(C=C1C)OC(C=C2)=NC=C2C)=O,86.4,AM-V
NC1=C2C(C(C=C3)=CC=C3C(OC(C)(C)C)=O)=CC=CC2=NN1,85.8,AM-V
NC1=C2C(C(C=C3)=CC=C3C(OC(C)(C)C)=O)=CC=CC2=NN1,85.8,AM-V
CC(C1=CC=C2C(NN=C2)=C1)C(C3=CC=C(C=C3)C)=O,85.2,AM-V
COC(C=C1)=CC=C1NC2=CC=C(C=C2)OC,84.6,AM-V
C=CCN(C(C1=CC=NC2=CC=CC=C12)=O)CC3=CC=CC=C3,79.8,AM-V
CC1=CC=C(C=C1)C(NCCC2=CC=CC=C2)=O,79.8,AM-V
COC1=CN=C(C2=CC=C(C=C2)F)C=C1,78.6,AM-V
COC1=CN=C(C2=CC=C(C=C2)F)C=C1,78,AM-V
O=C(NC1=CC=C(C=C1)N2N=CC=C2)COC3=CC=CC=C3,78,AM-V
COC1=CC=CC=C1C2=CC=C3NN=CC3=C2,77.4,AM-V
CC(C)(C1=CC=C(NC2=CC=C3N=CC=CC3=C2)C=C1)C,77.4,AM-V
CCOC1=CC=C(C2=CC=CC3=C2C=NN3)C=N1,77.4,AM-V
COC1=CC=CC=C1C2=CC3=C(C=NN3)C=C2,77.4,AM-V
COC1=CC=CC=C1C2=CC3=C(C=NN3)C=C2,77.4,AM-V
O=C(OCC)C1=CN=C(NC2=CN=C(N=C2)C)N=C1,77.4,AM-V
CC1=CC=C(C=C1)C(NC2=CC=C(C=C2)N3N=CC=C3)=O,76.8,AM-V
ClC1=CC=C(C2=CC=NN2C)S1,76.8,AM-V
ClC1=CC=C(C2=CC=NN2C)S1,76.8,AM-V
O=C(N1CCC(NC(C2=CC(OC)=C(C=C2Br)OC)=O)CC1)OC(C)(C)C,76.2,AM-V
BrC1=CN=CC(OC(C=C2)=NC=C2C)=C1,75.6,AM-V
FC1=C(CC2=CC=CC=C2)N=CC=C1,75,AM-V
CCC1=CC(NC(C2=CC3=C(NN=C3)C=C2)=O)=CC=C1,74.4,AM-V
NC1=CC=C(C=C1)C#CC2=NNC3=C2C=CC=C3[N+]([O-])=O,73.8,AM-V
N#CC1CCN(C(CC2=CC(C3=O)=C(OCC4=C3C=CC=C4)C=C2)=O)CC1,73.8,AM-V
O=C(C1=CC=CC(NC2=CC(CO)=CC=C2)=C1)OCC,73.8,AM-V
CC(C=CC=C1C)=C1OC(N=C2)=NC=C2C,73.8,AM-V
CNC(C=C1)=CC=C1C(CC2=C3C=CNC3=CC=C2)=O,73.2,AM-V
CC1=C(C2=CC=C(C(F)=C2)C3=CC=CC=C3)C=NC=C1,73.2,AM-V
