Reaction_type,P,S1,S2,pred_best_methods,pred_best_methods_str,pred_best_score,error,pred_AM-I_P,pred_AM-I_S1,pred_AM-I_S2,pred_AM-II_P,pred_AM-II_S1,pred_AM-II_S2,pred_score_AM-I,pred_score_AM-II,pred_score_AM-III,pred_score_AM-IV,pred_score_AM-V,pred_score_AM-VI,pred_AM-IV_P,pred_AM-IV_S1,pred_AM-IV_S2,pred_AM-III_P,pred_AM-III_S1,pred_AM-III_S2,pred_AM-VI_P,pred_AM-VI_S1,pred_AM-VI_S2,pred_AM-V_P,pred_AM-V_S1,pred_AM-V_S2
SNAr,O=C(C1=CC=CC=C1)C2=CC=CC=C2N(CCC3)CC3C,CC1CNCCC1,O=C(C1=CC=CC=C1F)C2=CC=CC=C2,"['AM-I', 'AM-II']","AM-I, AM-II",1,,93.58200536319796,53.3950014440003,75.65534369102843,71.48646133069283,45.27861491519365,60.49767776099827,1,1,0.914695834466307,0.9340258769125435,0.7712471276059752,0.921150185152801,,,,,,,,,,,,
SNAr,N#CC1=CC=C(N(CC2)CCN2CCCC)C=C1C,CCCCN1CCNCC1,N#CC1=CC=C(F)C=C1C,"['AM-I', 'AM-IV']","AM-I, AM-IV",1,,54.01793934722825,35.14924926736347,66.76929756064106,,,,1,0.8869766701158552,0.9825195442091235,1,0.5146254722537322,0.8018945908822476,51.201670111256256,40.34034337312969,60.242740088370105,,,,,,,,,
SNAr,N#CC1=CC=C(N(CCC2)CC2C)N=C1,CC1CNCCC1,N#CC1=CC=C(Cl)N=C1,['AM-I'],AM-I,1,,80.41831040283753,53.3950014440003,64.2540722577254,,,,1,0.9957989394205666,0.7446792623298306,0.5671426262102333,0.4680295735786192,0.8360753036465541,,,,,,,,,,,,
SNAr,N#CC1=CC(N(CCC2)CC2C)=NC=C1,CC1CNCCC1,N#CC1=CC(Cl)=NC=C1,['AM-I'],AM-I,1,,82.18186120683109,53.3950014440003,65.83514686081236,,,,1,0.9657232125193558,0.7617089829544321,0.6000933393144976,0.6344891164922815,0.7977423697657845,,,,,,,,,,,,
SNAr,C12CCCN(C3=NC=CN=C3)C1CCCC2,C12CCCNC1CCCC2,FC1=NC=CN=C1,['AM-I'],AM-I,1,,80.9820001089195,63.805383028448844,48.61306968986438,,,,1,0.8146692290979378,0.8233232925017312,0.4726173526130505,0.5980578727981387,0.7207984725039355,,,,,,,,,,,,
SNAr,N#CC1=CC=CN=C1N(CCC2)CC2C,CC1CNCCC1,N#CC1=CC=CN=C1F,['AM-II'],AM-II,0.9626589959594151,,,,,66.58309361283789,45.27861491519365,43.17923246189375,0.9558839845034516,0.9626589959594151,0.8095702954849254,0.6722774512077605,0.5094532513013945,0.6818190811255451,,,,,,,,,,,,
SNAr,O=C(OCC)C1=CN=C(NCC2=CC=CC=C2F)N=C1,NCC1=CC=CC=C1F,O=C(C1=CN=C(Cl)N=C1)OCC,['AM-I'],AM-I,1,,76.95739080335211,47.44037133805179,66.21166704542331,,,,1,0.9975915862637377,0.8973653407218097,0.7481357364962538,0.6713452088004668,0.7780774154689245,,,,,,,,,,,,
SNAr,O=C(OCC)C1=CN=C(NC2=CC=CC(C)=C2C)N=C1,NC1=CC=CC(C)=C1C,O=C(C1=CN=C(Cl)N=C1)OCC,['AM-I'],AM-I,1,,79.43795185577622,54.39528241942871,66.21166704542331,,,,1,0.9834370542322669,0.967351400046812,0.9415074058209315,0.6491741239999373,0.7310269619796127,,,,,,,,,,,,
SNAr,COC1=C(N(CCC2)CC2C)C=NC(OC)=N1,CC1CNCCC1,COC(N=C1OC)=C(C=N1)Br,"['AM-I', 'AM-II']","AM-I, AM-II",1,,77.77512918189215,53.3950014440003,67.21807691982949,65.03748901956844,45.27861491519365,56.00406601439159,1,1,0.6814555396981765,0.6138452671707059,0.5096413127280849,0.7042463086819082,,,,,,,,,,,,
SNAr,C1(NC2CCCCC2)=CN=C(N3CCOCC3)C=C1,NC1CCCCC1,BrC1=CN=C(C=C1)N2CCOCC2,['AM-III'],AM-III,0.792465555594412,,,,,,,,0.5902751550766022,0.6245857007212421,0.792465555594412,0.4148479401030444,0.6349439976676406,0.7514692287390585,,,,80.5782010654199,69.10139414617558,76.90792700509198,,,,,,
