SMILES,UV_RT-s,Method
OC(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)=O,93,AM-IV
FC(F)(F)C1=CC(C(O)=O)=CC=C1Cl,90.6,AM-IV
OC(C1=C2C=CC=CC2=CC3=CC=CC=C13)=O,90,AM-IV
CC1=CC(C2=NC=CN2)=CC=C1F,86.4,AM-IV
OC(c1cc(C(F)(F)F)ccc1)=O,85.8,AM-IV
OC(C1=CC=C(Br)C=C1)=O,85.2,AM-IV
OC(C1=C2C=CC=CC2=CC=C1)=O,85.2,AM-IV
CC1=C(C)C(C2=NC=CN2)=CC=C1,85.2,AM-IV
COC1=C(C(OC)=CC(C(O)=O)=C1)Br,84.6,AM-IV
ClC1=CC=C(C(C(O)=O)=C1)Br,84.6,AM-IV
OC(C1=CC=CC(Br)=C1)=O,84.6,AM-IV
OC(c1cc(Cl)c(F)cc1)=O,84.6,AM-IV
OC(C1=CC=C(C(C)=C1)C)=O,84.6,AM-IV
CC1=CC=C(C2=NC=CN2)C=C1,84.6,AM-IV
COC1=CC=C(C2=NC=CN2)C=C1F,84,AM-IV
OC(c1ccc(Cl)cc1)=O,83.4,AM-IV
COC(C1=CC=C(C2=NC=CN2)C=C1)=O,83.4,AM-IV
OC(c1cc(Cl)ccc1)=O,82.8,AM-IV
OC(c1c(F)cc(Cl)cc1)=O,82.2,AM-IV
OC(C1=CC=CC(Br)=C1F)=O,82.2,AM-IV
CC1=CC(F)=CC=C1C2=NC=CN2,82.2,AM-IV
FC1=CC=C(C(O)=O)C(Br)=C1,81.6,AM-IV
C1(C2=CC3=C(C=C2)OCO3)=NC=CN1,81.6,AM-IV
Cc1ccc(C(O)=O)cc1,81,AM-IV
OC(C1=CC(Br)=CS1)=O,81,AM-IV
IC1=CC=CC=C1C(O)=O,81,AM-IV
CC(C1=CC(C2=NC=CN2)=CC=C1)=O,81,AM-IV
OC(C1=CC=C(C=C1)C#C)=O,80.4,AM-IV
COC1=CC(OC)=CC(C(O)=O)=C1,79.8,AM-IV
C1(C2=CSC=C2)=NC=CN1,79.2,AM-IV
O=[N+]([O-])C1=C(C(C(O)=O)=CC=C1)C,78.6,AM-IV
FC1=C(C=C(C(C(O)=O)=C1)F)F,78.6,AM-IV
OC(C1=CC=C(C=C1)F)=O,78,AM-IV
OC(c1cc(F)ccc1)=O,78,AM-IV
COC1=CC=C(C=C1)C(O)=O,76.8,AM-IV
OC(C1=CC=CC(OC)=C1)=O,76.2,AM-IV
OC(C1=CC=CC=C1)=O,75.6,AM-IV
CC(C1=CC(C2=CN=CC=C2)=CN=C1)=O,75,AM-IV
OC(c1c(F)cccc1)=O,73.8,AM-IV
COC1=NC=C(C2=NC=CN2)C=N1,73.8,AM-IV
OC(c1ccc(C#N)cc1)=O,73.2,AM-IV
OC(c1cc(C#N)ccc1)=O,73.2,AM-IV
C1(C2=CN=CC=C2)=CN=C3NC=CC3=C1,73.2,AM-IV
COC1=NC=C(C2=CN=CC=C2)C=N1,73.2,AM-IV
COC1=NN=C(C=C1)NC(C2=NC=CN=C2)=O,73.2,AM-IV
OC(C1=CC(OC)=C(C=C1[N+]([O-])=O)OC)=O,72.6,AM-IV
COC1=NC=C(NC2=NOC=C2)C=N1,70.2,AM-IV
CC1=CC=CC(NC2=NC(F)=CC=C2)=N1,70.2,AM-IV
Cc1ccnc(Nc2ccccn2)c1,69.6,AM-IV
FC1=CC(C#N)=CC=C1C(O)=O,69.6,AM-IV
CC(C1=CC(C2=CC(C)=NC=C2)=CN=C1)=O,69.6,AM-IV
CCN1C(CNC2=C(N(=O)=O)C=C(C#N)C=C2)CCC1,69.6,AM-IV
COC1=CC=CN=C1/C=C/C2=NC=CC=C2,69.6,AM-IV
CCN1C(CNC2=CC=C([N+]([O-])=O)C(OC)=C2)CCC1,69,AM-IV
CN(N=C1)C=C1NC(C2=CC=NC=C2Cl)=O,69,AM-IV
CCOc1cc(Nc2cnc3ccnn3c2)ccn1,68.4,AM-IV
NC1=NC=NC(C2=CC=NN2C3CCCCO3)=C1,68.4,AM-IV
NC1=CC(C2=CC=C(C=C2)F)=NC=C1,68.4,AM-IV
NC1=CC(C2=CCCC2)=NC=C1,68.4,AM-IV
NC1=C(C2=CC=NN2C3CCCCO3)C=CN=C1,68.4,AM-IV
COC1=NC=C(C2=CC(C)=NC=C2)C=N1,67.8,AM-IV
CN1C=C(C2=CC3=C(C=C2)C=NC=C3)C=N1,67.8,AM-IV
CCC1=NC2=CC=CC=C2C(C)=C1,67.8,AM-IV
NC1=CC(C2=CC=C(CN3CCOCC3)C=C2)=NC=C1,67.8,AM-IV
NC1=C(C2=CC=NN2C3CCCCO3)C=CN=C1,67.8,AM-IV
NC1=NC2=C(C=C(C=C2)OC3=CC(C)=NC=C3)S1,67.8,AM-IV
Cc1c(N)c(C)cc(OC2=CC(C)=NC=C2)c1,67.8,AM-IV
O=C(C1=CC(/C=C/C2=CC=NC=C2)=CN=C1)OC,67.8,AM-IV
COc1ccnc(NCC2CC2)c1,67.2,AM-IV
COc1ccc(Nc2ccc(C)cn2)cn1,67.2,AM-IV
FC1=NC=CC(C2=CC=C3N=CNC3=C2)=C1,67.2,AM-IV
FC1=CC=C(C2=CC=C3N=CNC3=C2)C=N1,67.2,AM-IV
O=CC1=CC=C(C2=CC(C)=CN=C2)O1,67.2,AM-IV
NC1=CC(C2=CC=CC=C2)=NC=C1,67.2,AM-IV
COC(N=C1)=CC=C1NC(C(C)=N2)=CC=C2C,67.2,AM-IV
CC1=NC=CC=C1CC(C2=CC=CS2)=O,67.2,AM-IV
