y_true,y_pred,smiles
70.40067,66.70794,O=C(NC1=CC=CC=C1CC2=CC=CC=C2)CC3=CC(Cl)=CC(Cl)=C3
43.2,42.618668,ClC(C=C1)=CN=C1NC2=CC3=C(C=C2)C=NC=C3
59.34995,55.10074,O=C(NC1=CC(C2=CC=CC=C2)=NN1C)C3=NC4=CC=CC=C4N=C3
64.8,67.581505,FC(F)(F)C1=CC=C(C=C1)CC(NC2=CC(C(OCC)=O)=CC=C2)=O
50.699955,53.176662,O=C(NC1=NOC(C)=C1)C2=CC(C3=CC=CC=C3O2)=O
60.6,56.870396,O=C(NC1=C(C=CC=C1)C2=CC=CC=C2)C3=NC=CN=C3
61.2,62.3818,O=C(NC(C=C1C)=CC=C1OC)C2=CC=NC(C(F)(F)F)=C2
67.8,66.436066,O=C(NC1=CC=CC(SC)=C1)C2=CC=C(C=N2)C(F)(F)F
49.2,52.603752,O=C(NC1=CC(C(OCC)=O)=CC=C1)C2=NC=CC=N2
44.4,48.937904,COC1=CC=C(C=C1OC)NC(C2=NC=CN=C2)=O
67.2,66.1339,O=C(NC(C=C1)=CC=C1C(OC)=O)C2=NC(Cl)=CC(Cl)=C2
40.8,46.72809,O=C(NC1=CC=C2N=CC=NC2=C1)C3=NC=CN=C3
45.0,48.880302,O=C(C1=CC=CC(NC2=NC=CC=C2)=C1)OCC
57.0,56.637398,O=C(NS(=O)(C1=CC([N+]([O-])=O)=CC=C1C)=O)C2=CC=C(C=C2)OC
45.0,46.573997,NC1=C(C=CC(C(NCCCC)=O)=C1)C
55.2,52.087326,O=C(NC1=CC(C#C)=CC=C1)C2=CC=C3N=CC=NC3=C2
66.6,66.58151,CC1=CC(NC(C2=CC=CC=C2C3=CC=C(C=C3)C)=O)=CC=C1
43.2,45.27166,O=C(NC1=CC=C(C=C1)N2C=CN=C2C)C3=CC=C(C=N3)C(F)(F)F
50.4,49.698223,O=C(NS(=O)(C1=CC=C(C=C1)OC)=O)C2=CN(N=C2C(F)F)C
45.0,52.847305,Cc1cc(C)nc(NC(=O)c2cc(C)on2)n1
64.2,67.38007,FC(F)(F)C1=CN=C(NC2=CC=C(CO)C=C2)C=C1
66.0,65.095276,N#CC1=CC=CN=C1NC2=CC=C(C=C2C)C
54.0,52.620064,COC(C=C1)=CC=C1NC(C2=C(OC=C2)C)=O
54.6,45.279434,COC1=CC=C(C=C1OC)NC2=NC=CC=N2
69.6,64.13592,FC1=NC=C(NC2=CC=C(C)C=C2C)C=C1
51.0,53.882072,O=C(NC1=CC=C2N=CC=NC2=C1)C3=CC=NC(C(F)(F)F)=C3
68.50054,66.2534,O=C(NC(C=C1)=CC=C1OC(C=C2)=CC=C2C)C3=CC=CC=C3C
68.4,63.369263,CC1=CC=CC=C1NC2=CC=CC=C2F
56.4,58.343643,O=C(NC1=CC=C(C=C1)OC)C2=CC=NC(C(F)(F)F)=C2
47.4,53.529285,CC1=C(C=CC=C1NC2=CN=CC3=C2C=CC=C3)Cl
64.250244,62.39956,CC1=NC2=C(NC(C3=CC(OC)=C(OC)C(OC)=C3)=O)C=CC=C2C=C1
64.8,60.113636,CN1N=C(C2=CC=CC=C2)C=C1NC(C3=CC=C(S3)C4=CC=CC=C4)=O
74.00093,68.093285,OC(C1=CC=CC=C1)(C(NC(C=C2)=CC=C2OC(C=C3)=CC=C3C)=O)C4CCCC4
58.2,66.003975,O=C(NC1=NC2=C(C=CC=C2)N1C)C3=C(N=CC(Br)=C3)OC
63.0,64.22533,CC1=CC(NC(C2=CNC3=C2C=C(Br)C=C3)=O)=CC=C1
45.199963,50.084717,O=C(NC(C=C1)=CC=C1C(C)=O)C2=CC=CO2
42.6,40.2948,O=C(NS(=O)(C1=CC(CC(C)=O)=CC=C1OC)=O)C2=CC=C3N=C(C=CC3=C2)C
55.2,55.301804,O=C(NC1=CC=C2N=CC=NC2=C1)C3=NC=CC4=C3C=CC=C4
64.2,61.891296,O=C(NC1=CC=C(C=C1C)C(F)(F)F)C2=CC(Cl)=NC(C)=C2
60.0,63.77007,O=C(NC1=CC(C(OCC)=O)=CC=C1)CC2=CC=C(C=C2)[N+]([O-])=O
60.6,60.565086,C[C@H](C1=CC=CC=C1)NC(C2=CC(C3=CC=CC=C3)=CC=C2)=O
60.6,61.95055,O=C(NC(C=C1C)=CC=C1OC)C2=CC=C(S2)[N+]([O-])=O
63.6,63.95411,O=C(NC1=CC2=C(C=C1)OCO2)C3C(C)(C3(C)C)C
51.6,48.59462,CC(=O)c1cccc(NC(=O)c2cc(C)on2)c1
