y_true,y_pred,smiles
76.8,81.92092,CC(C=C1)=CC=C1CNC(C2=NC=CC(OC)=C2)=O
66.6,62.885983,O=C(NC1=NN(C=C1)CC2=CC=CC=C2)CC3=CC(OC)=NC=C3
67.8,73.38879,BrC1=CC=C(C=C1)OCC(O)=O
66.6,87.23882,IC1=C(C)C=CC(C(NC2=NC=CC=N2)=O)=C1
65.4,69.296295,CC1=NC=C(C=N1)NC(C2=CC3=C(S2)CCC3)=O
85.8,88.74142,CC1=CC(C)=CC(NC(C(C2=CC=CC=C2)C)=O)=C1
65.4,79.25629,CC1=CC(C)=NC(NC(C2=CC3=C(S2)CCC3)=O)=N1
66.6,78.359535,CC(C=C1)=CC=C1CN(C2(C(NCC3=CC=CC=C3)=O)CCN(CC2)CC4=CC=CC=C4)C(C5=CC=C6N=C(C)C=CC6=C5)=O
56.4,61.924805,CN1CCN(C2=NC=C(C=C2)N(C(CCC)(C(NCC3=CC=CC=C3)=O)C)C(C4=CC=CO4)=O)CC1
72.0,70.505516,CCCCCCOCCOCC(O)=O
89.4,84.50015,O=C(C1=CC=CC=C1)C2=CC=CC=C2NC(C3=CC=C(O3)C)=O
75.0,59.98853,ClC1=CC(OC)=CC(C(NCC2=CC=CO2)=O)=N1
60.6,65.27642,COC1=CC(NC(C2=CC=C(C(F)(F)F)N=C2)=O)=NC=C1
75.0,81.67423,CC(C)(C)C1=CC=CC=C1NC(C2=CN=CC3=C2C=CC=C3)=O
46.8,63.17317,O=C(NC1=CN=CC2=CC=CC=C21)CC3=CC=CC(O)=C3
89.4,95.61695,CSC1=CC=C(C=C1)N(C2(C(NC3=CC=C(C=C3)Br)=O)CCC4(OCCO4)CC2)C(C5=CC=C6OCCOC6=C5)=O
46.2,52.628975,O=C(NC1=CN=NC=C1)CCC2=CC=C(C=C2)O
86.4,92.09763,IC1=C(C)C=CC(C(NCCOCC2=CC=CC=C2)=O)=C1
58.8,66.81713,COC1=CC=C(CNC(C2=CC=C3N=CC=CC3=C2)=O)C=C1
69.0,73.27462,CN1N=CC2=CC=C(C=C12)NC(C3=CC=CC(OC)=C3)=O
60.0,66.35029,CC1=C(C)C(NC(C2=CC3=C(C=C2)C=NC=C3)=O)=CC=C1
61.2,62.78942,COC1=CC=C(NC(C2=CC3=C(C=C2)C=NC=C3)=O)C=C1C
88.2,90.98121,CC1=C(C=C(C=C1)NC(COCC2=CC=CC=C2)=O)Br
85.2,90.76481,IC1=C(C)C=CC(C(NC2=CC=C3OCCOC3=C2)=O)=C1
