y_true,y_pred,smiles
78.6,78.168564,N#CC1=C(C=CC=C1F)OC2=NC=CC=C2C
78.6,79.239136,CC1=CC=CC=C1OC2=CC=CC(C=O)=N2
90.0,88.5785,CC1=C(C)C(C2=CC=C3SC=NC3=C2)=CC=C1
67.8,63.98095,O=C(C1=CN=C(C2=C(ON=C2C)C)C=C1)OC
51.6,51.360428,OCCC#CC1=CC=C2C(NN=C2)=C1
75.6,79.63731,COC1=CC(OC)=CC(OC2=NC(C)=CC=C2)=C1
59.4,56.25068,O=CC1=CC=C(/C=C/C(N(C)C)=O)C(OC)=C1
97.8,93.984055,CC(C(Cl)=C1)=CC=C1OC(C=CC(OC)=N2)=C2C
76.2,73.69096,O=C(C1=CN=C(C2=CC=C(N=C2F)F)C=C1)OC
62.4,55.66755,CCN(CC)C(C1=CC=CC=C1OC2=CC=C3N=CC=CC3=C2)=O
70.2,69.62002,FC(C=C1)=CC=C1OC2=CN=CC(C(C)=O)=C2
54.0,52.458233,CC1=CC(C#CC2=CC=CN=C2)=NC=C1
90.0,87.7769,C1(C2=CC3=C(C=C2)SC=N3)=C4C=CC=CC4=CC=C1
71.4,74.03333,O=C(C1=CC=CC=C1OCC2=CC=CC=C2)OCCC(C=C3)=NC=C3CC
45.0,53.311718,CC(C)(C#CC(C=C1)=NN=C1C)O
69.6,70.909096,C1(C#CC2=NC=CC=C2)=CC=CC=C1
90.0,89.23786,BrC1=CC=C(C=C2)C(C=C2OC(C=C3)=NC=C3C)=C1
79.2,78.609184,Cc1cc(Oc2ccccn2)cc(C)c1C#N
81.0,79.58753,O=C(OC1=CC=CC(C)=C1)C2=CC=NC=C2Cl
78.6,80.595055,COC(C1=CC=C(C2=C(C)ON=C2C)C(C)=C1)=O
80.4,80.21318,O=C(OC)C1=CC(C2=CC=C(F)C(C)=C2)=CN=C1
81.6,76.85556,O=C(C1CCC2=C(O1)C=CC(F)=C2)OC(C=N3)=CC=C3OC
79.2,86.93232,O=C(C1=C(C=CC=C1OC2=NC(C)=CC=C2)C)OCC
90.0,88.549065,CN(c1ccc(/C=C/C(OCc2cc(Cl)nc(Cl)c2)=O)cc1)C
86.4,85.96131,CCOC(C=C1)=CC=C1C#CC2=NC3=CC=CC=C3N=C2
79.2,73.72704,O=C(OC(C)(C)C)N1CCC(CC1)C#CC2=CC=CN=C2
81.6,84.33064,FC1=CC(F)=CC(CC(OCC2=CC=CN=C2OC)=O)=C1
88.80197,91.27326,O=C(C1=CC=CC=C1OCC2=CC=CC=C2)OCC3=CC=CN=C3OC
60.6,64.5774,O=CC1=CC=C(/C=C/C2=NC=CC=C2)C(OC)=C1
82.8,81.280556,N#CC1=C(C=C(C=C1C)OC(C=C2)=NC=C2C)C
75.0,74.29193,O=C(OC)C1=CN=C(C2=CSC=C2)C=C1
82.8,80.92313,CC1=CC(C#CC2=CC=CN=C2)=CC=C1F
66.6,70.129005,FC1=CN=CC(OC(C=C2)=NC=C2C(OC)=O)=C1
91.2,92.09606,CC(C)(C)C(C=C1Cl)=CC=C1OC2=NC=CC=C2OC
