Reaction_type,P,S1,S2,pred_best_methods,pred_best_methods_str,pred_best_score,error,pred_AM-I_P,pred_AM-I_S1,pred_AM-I_S2,pred_AM-II_P,pred_AM-II_S1,pred_AM-II_S2,pred_score_AM-I,pred_score_AM-II,pred_score_AM-III,pred_score_AM-IV,pred_score_AM-V,pred_score_AM-VI,pred_AM-IV_P,pred_AM-IV_S1,pred_AM-IV_S2,pred_AM-III_P,pred_AM-III_S1,pred_AM-III_S2,pred_AM-VI_P,pred_AM-VI_S1,pred_AM-VI_S2,pred_AM-V_P,pred_AM-V_S1,pred_AM-V_S2
SNAr,O=C(C1=CC=CC=C1)C2=CC=CC=C2N(CCC3)CC3C,CC1CNCCC1,O=C(C1=CC=CC=C1F)C2=CC=CC=C2,"['AM-I', 'AM-II']","AM-I, AM-II",1.0,,93.58200705269786,52.58655809011886,77.76206195677663,72.71163060574081,45.37562033394407,62.412835190035395,1.0,1.0,0.9788891412799473,0.9145235880636079,0.7692052751952468,0.9258548579648933,,,,,,,,,,,,
SNAr,N#CC1=CC=C(N(CC2)CCN2CCCC)C=C1C,CCCCN1CCNCC1,N#CC1=CC=C(F)C=C1C,"['AM-I', 'AM-IV']","AM-I, AM-IV",1.0,,54.01792504318078,33.70951710218584,66.5782771371256,,,,1.0,0.8488336728365062,0.9791135013743184,1.0,0.5115539674653087,0.7438938248000212,51.061942978370645,40.14640614206841,60.23687397756337,,,,,,,,,
SNAr,N#CC1=CC=C(N(CCC2)CC2C)N=C1,CC1CNCCC1,N#CC1=CC=C(Cl)N=C1,['AM-I'],AM-I,1.0,,80.41765843818592,52.58655809011886,64.2503487499803,,,,1.0,0.995580071701014,0.8163826334341964,0.5651727127711976,0.46290132407757,0.858437356994046,,,,,,,,,,,,
SNAr,N#CC1=CC(N(CCC2)CC2C)=NC=C1,CC1CNCCC1,N#CC1=CC(Cl)=NC=C1,['AM-I'],AM-I,1.0,,82.18187935436137,52.58655809011886,65.90013673984947,,,,1.0,0.9792818825021747,0.838895458963915,0.5956469424413455,0.6341909588135735,0.8128576830513234,,,,,,,,,,,,
SNAr,C12CCCN(C3=NC=CN=C3)C1CCCC2,C12CCCNC1CCCC2,FC1=NC=CN=C1,['AM-I'],AM-I,1.0,,80.98185436837423,62.262420668295164,48.625964224575505,,,,1.0,0.8373926131206184,0.8680340166582977,0.47387038733622977,0.5918577745288645,0.714543633449513,,,,,,,,,,,,
SNAr,COC1=C(N(CCC2)CC2C)C=NC(OC)=N1,CC1CNCCC1,COC(N=C1OC)=C(C=N1)Br,"['AM-I', 'AM-II']","AM-I, AM-II",1.0,,77.94574399780288,52.58655809011886,67.21827822447423,65.31057848576961,45.37562033394407,56.13750573727463,1.0,1.0,0.7064507059958072,0.6403128762143869,0.5086123420669209,0.6117679726450869,,,,,,,,,,,,
SNAr,N#CC1=CN=C(NC2CCCCC2)C=C1,NC1CCCCC1,N#CC1=CN=C(Br)C=C1,['AM-I'],AM-I,1.0,,76.18180602960842,53.171277354450275,62.998054248772995,,,,1.0,0.978288377417893,0.9600550653077459,0.4514624569980029,0.392945442968868,0.717017316836745,,,,,,,,,,,,
SNAr,CCC1=CN=C(N(C)CCC)N=C1,CCCNC,CCC1=CN=C(Cl)N=C1,['AM-I'],AM-I,0.8214867553036322,,62.63447814961177,41.98770862846192,57.75813410209787,,,,0.8214867553036322,0.7385623679608926,0.700278773862502,0.6591989140635975,0.41214472114886824,0.7366031200498779,,,,,,,,,,,,
SNAr,N#CC1=CC=CN=C1N(CCC2)CC2C,CC1CNCCC1,N#CC1=CC=CN=C1F,['AM-I'],AM-I,0.959617929992411,,82.78223177741673,52.58655809011886,54.12395155271642,,,,0.959617929992411,0.9556736938575228,0.8665084893499528,0.6515626512420432,0.5051287341485535,0.69678920662431,,,,,,,,,,,,
SNAr,O=C(OCC)C1=CN=C(NCC2=CC=CC=C2F)N=C1,NCC1=CC=CC=C1F,O=C(C1=CN=C(Cl)N=C1)OCC,['AM-I'],AM-I,1.0,,76.93777891301477,47.09198289185077,64.84474594622449,,,,1.0,0.9940428793684972,0.9470284561943173,0.7458827425721666,0.6687025686865379,0.7389817929458101,,,,,,,,,,,,
