row_dir,Reaction_type,P,S1,S2,Exp_method,Pro_RT,Sub1_RT,Sub2_RT,exp-RT-P,exp-RT-S1,exp-RT-S2,pred_best_methods,pred_best_score,exp_score,pred_AM-I_P,pred_AM-I_S1,pred_AM-I_S2,pred_AM-II_P,pred_AM-II_S1,pred_AM-II_S2,pred_AM-III_P,pred_AM-III_S1,pred_AM-III_S2,pred_AM-IV_P,pred_AM-IV_S1,pred_AM-IV_S2,pred_AM-VI_P,pred_AM-VI_S1,pred_AM-VI_S2,pred_score_AM-I,pred_score_AM-II,pred_score_AM-III,pred_score_AM-IV,pred_score_AM-V,pred_score_AM-VI
row_0,SNAr,O=C(C1=CC=CC=C1)C2=CC=CC=C2N(CCC3)CC3C,CC1CNCCC1,O=C(C1=CC=CC=C1F)C2=CC=CC=C2,AM-I,1.26,0.19,1.05,75.6,11.4,63.0,"AM-I, AM-II",1.0,0.9804649865443203,93.58200705269786,52.58655809011886,77.76206195677663,72.71163060574081,45.37562033394407,62.412835190035395,,,,,,,,,,1.0,1.0,0.9788891412799473,0.9145235880636079,0.7692052751952468,0.9258548579648933
row_1,SNAr,N#CC1=CC=C(N(CC2)CCN2CCCC)C=C1C,CCCCN1CCNCC1,N#CC1=CC=C(F)C=C1C,AM-I,0.99,0.16,1.32,59.4,9.6,79.2,"AM-I, AM-IV",1.0,0.9785745013711901,54.01792504318078,33.70951710218584,66.5782771371256,,,,,,,51.061942978370645,40.14640614206841,60.23687397756337,,,,1.0,0.8488336728365062,0.9791135013743184,1.0,0.5115539674653087,0.7438938248000212
row_2,SNAr,N#CC1=CC=C(N(CCC2)CC2C)N=C1,CC1CNCCC1,N#CC1=CC=C(Cl)N=C1,AM-I,1.37,0.19,0.85,82.2,11.4,51.0,AM-I,1.0,0.9804649865443203,80.41765843818592,52.58655809011886,64.2503487499803,,,,,,,,,,,,,1.0,0.995580071701014,0.8163826334341964,0.5651727127711976,0.46290132407757,0.858437356994046
row_3,SNAr,N#CC1=CC(N(CCC2)CC2C)=NC=C1,CC1CNCCC1,N#CC1=CC(Cl)=NC=C1,AM-I,1.41,0.19,0.89,84.6,11.4,53.4,AM-I,1.0,0.9804649865443203,82.18187935436137,52.58655809011886,65.90013673984947,,,,,,,,,,,,,1.0,0.9792818825021747,0.838895458963915,0.5956469424413455,0.6341909588135735,0.8128576830513234
row_4,SNAr,C12CCCN(C3=NC=CN=C3)C1CCCC2,C12CCCNC1CCCC2,FC1=NC=CN=C1,AM-I,1.44,0.19,0.34,86.4,11.4,20.4,AM-I,1.0,0.9743495880417301,80.98185436837423,62.262420668295164,48.625964224575505,,,,,,,,,,,,,1.0,0.8373926131206184,0.8680340166582977,0.47387038733622977,0.5918577745288645,0.714543633449513
row_5,SNAr,COC1=C(N(CCC2)CC2C)C=NC(OC)=N1,CC1CNCCC1,COC(N=C1OC)=C(C=N1)Br,AM-I,0.94,0.29,1.16,56.4,17.4,69.6,"AM-I, AM-II",1.0,0.986766603788088,77.94574399780288,52.58655809011886,67.21827822447423,65.31057848576961,45.37562033394407,56.13750573727463,,,,,,,,,,1.0,1.0,0.7064507059958072,0.6403128762143869,0.5086123420669209,0.6117679726450869
row_6,SNAr,N#CC1=CN=C(NC2CCCCC2)C=C1,NC1CCCCC1,N#CC1=CN=C(Br)C=C1,AM-I,1.27,0.3,0.45,76.2,18.0,27.0,AM-I,1.0,0.9854857034804053,76.18180602960842,53.171277354450275,62.998054248772995,,,,,,,,,,,,,1.0,0.978288377417893,0.9600550653077459,0.4514624569980029,0.392945442968868,0.717017316836745
row_7,SNAr,CCC1=CN=C(N(C)CCC)N=C1,CCCNC,CCC1=CN=C(Cl)N=C1,AM-I,1.09,0.22,0.95,65.4,13.2,57.0,AM-I,0.8214867553036322,0.956381445743425,62.63447814961177,41.98770862846192,57.75813410209787,,,,,,,,,,,,,0.8214867553036322,0.7385623679608926,0.700278773862502,0.6591989140635975,0.41214472114886824,0.7366031200498779
row_8,Chan-Lam,O=CC1=CC=CC=C1NC2=CN=C(OC)C=C2,O=CC1=CC=CC=C1N,OB(O)C1=CN=C(C=C1)OC,AM-I,1.35,0.9475,0.3567,81.0,56.85,21.402,"AM-I, AM-III",1.0,0.9945228962161177,77.381773311352,47.229006406564096,31.55936838134536,,,,85.16946687818589,62.800940771179825,44.509892731450634,,,,,,,1.0,0.9965934248316116,1.0,0.988324497589158,0.8260307408046279,0.990499077777734
row_9,Chan-Lam,CSC1=CC(NC2=CN=C(OC)C=C2)=CC=C1,NC1=CC=CC(SC)=C1,OB(O)C1=CN=C(C=C1)OC,AM-I,1.0467,0.63,0.3567,62.802,37.8,21.402,"AM-I, AM-II, AM-III, AM-IV",1.0,0.9945228962161177,75.01817574386176,54.45032423049154,31.55936838134536,62.34960645069957,51.27641111917075,35.23468484070001,93.68696393507395,75.07862514340579,44.509892731450634,67.1387154166598,57.08258149441553,41.81959290570344,,,,1.0,1.0,1.0,1.0,0.6993751621967377,0.9368579234849931
