Feature,MeanAbsSHAP
logP,5.15216704951216
H_bond_donors,2.0473899851980972
fp_842,1.5807634121103642
MolWt,1.2373548660772693
col350,0.7874651096337958
fp_707,0.7818115731007147
fp_579,0.7726711011947497
TPSA,0.6839767014261291
col808,0.6372283085899617
fp_145,0.6135203586882745
col316,0.574134470372486
col403,0.5326123559724864
fp_73,0.5114725193581503
fp_546,0.4980942109173744
fp_935,0.4562899411124435
col472,0.4309632666179147
fp_695,0.40484105761186845
fp_378,0.360123964478148
fp_674,0.35245605687554726
fp_184,0.309667335185811
