feature,importance
fp_842,2628.613525390625
col472,2441.567626953125
fp_707,2250.0205078125
fp_387,2197.583251953125
col167,2051.371826171875
fp_767,2049.443359375
fp_546,1966.28955078125
col377,1954.856201171875
fp_443,1862.390625
col58,1758.5986328125
fp_655,1533.577392578125
fp_378,1509.93310546875
col792,1477.9161376953125
fp_145,1419.4891357421875
fp_126,1328.4019775390625
fp_184,1328.3245849609375
fp_171,1276.9444580078125
fp_939,1270.921142578125
fp_795,1211.4127197265625
col476,1194.0184326171875
fp_523,1181.2952880859375
fp_579,1180.5667724609375
fp_268,1171.741455078125
fp_561,1170.7369384765625
fp_935,1154.892333984375
fp_52,1131.9844970703125
col633,1098.345703125
fp_456,1096.25732421875
fp_644,1094.490966796875
fp_178,1084.32421875
fp_343,1031.911865234375
fp_335,1003.7308959960938
col799,991.7380981445312
fp_5,985.6370239257812
fp_264,977.208984375
H_bond_donors,954.8564453125
fp_733,917.9007568359375
fp_124,915.633544921875
col810,915.2076416015625
fp_320,878.630615234375
fp_997,869.2572631835938
fp_747,857.8346557617188
fp_924,847.7173461914062
logP,837.7410888671875
col106,831.2069702148438
col334,817.3950805664062
fp_887,814.9097900390625
fp_821,812.4002685546875
fp_619,808.7467041015625
fp_746,780.6805419921875
fp_577,744.7022094726562
fp_276,742.7998046875
fp_549,741.6640625
fp_234,735.3038940429688
fp_73,731.8117065429688
col788,729.0947875976562
fp_242,713.666259765625
fp_632,698.9556274414062
fp_952,697.7018432617188
fp_142,696.764892578125
fp_381,695.4970703125
col766,692.8268432617188
fp_71,687.2232055664062
fp_495,682.3850708007812
fp_401,676.1289672851562
col756,659.646728515625
fp_305,647.4884643554688
col403,644.4442138671875
fp_647,639.7991943359375
fp_715,636.0547485351562
col87,625.4649658203125
fp_48,621.5846557617188
fp_545,609.3589477539062
fp_724,601.8670654296875
fp_417,592.6356811523438
fp_207,591.3373413085938
fp_192,590.6375732421875
fp_102,585.4462890625
fp_550,585.1930541992188
fp_745,583.4608154296875
fp_610,572.5322875976562
fp_859,569.3565673828125
col346,568.3327026367188
fp_830,566.5288696289062
fp_950,566.0232543945312
col350,564.6780395507812
fp_17,557.6527099609375
fp_684,547.8400268554688
col316,547.1965942382812
fp_675,541.0726318359375
fp_542,536.5337524414062
fp_589,536.3077392578125
fp_232,531.85791015625
fp_858,512.4244995117188
fp_111,511.0072021484375
fp_121,507.1097412109375
fp_743,492.35675048828125
fp_104,486.82354736328125
fp_601,477.9938659667969
col408,477.7576599121094
col808,469.9096374511719
fp_558,466.776123046875
fp_496,464.1659851074219
fp_448,452.9135437011719
fp_786,450.8431396484375
fp_708,448.2965393066406
fp_135,448.29547119140625
fp_350,440.888671875
col162,430.0010681152344
col163,429.8309631347656
fp_894,424.3591003417969
fp_475,421.4148864746094
fp_528,420.30645751953125
fp_446,415.3892517089844
fp_521,415.24652099609375
fp_880,412.4447021484375
fp_841,410.398681640625
MolWt,404.84356689453125
fp_685,397.59271240234375
fp_177,394.5389404296875
fp_208,391.4095764160156
fp_497,390.4434814453125
fp_674,387.1823425292969
fp_580,384.6815490722656
fp_383,380.6487121582031
col783,369.9789123535156
col471,364.5474548339844
fp_759,362.14447021484375
fp_2,360.5295715332031
fp_758,360.0234680175781
fp_430,356.0283508300781
fp_515,355.81121826171875
fp_263,347.9283447265625
fp_680,342.6285400390625
fp_19,335.6212158203125
fp_936,331.059814453125
fp_999,328.9237365722656
fp_13,328.91357421875
fp_571,327.59564208984375
fp_283,326.5910339355469
col811,322.19146728515625
fp_676,320.4112243652344
fp_628,317.96685791015625
fp_1018,315.56817626953125
fp_570,312.3973388671875
fp_444,309.46783447265625
fp_362,308.88177490234375
fp_886,308.20361328125
fp_245,307.12078857421875
fp_818,301.96875
fp_847,301.8026123046875
fp_219,300.8868103027344
fp_4,300.8110656738281
fp_99,300.0311279296875
col348,299.29901123046875
fp_756,295.8578796386719
fp_710,295.1246032714844
fp_307,294.6136474609375
fp_798,294.0938415527344
fp_423,289.964599609375
fp_168,289.6495361328125
fp_270,283.8763122558594
fp_67,281.4845886230469
fp_604,275.91583251953125
fp_1017,274.81512451171875
TPSA,272.6826171875
fp_906,270.8683776855469
fp_520,267.3906555175781
col802,262.51007080078125
col57,260.5978698730469
fp_500,258.95709228515625
col804,257.82818603515625
fp_695,253.3433380126953
fp_1019,250.7965087890625
fp_75,250.73841857910156
