trial,val_r2_mean,params
0,0.8808590702597705,"{'max_depth': 5, 'learning_rate': 0.22648248189516848, 'subsample': 0.8659969709057025, 'colsample_bytree': 0.7993292420985183, 'min_child_weight': 2}"
1,0.4719246633012485,"{'max_depth': 4, 'learning_rate': 0.0013927723945289009, 'subsample': 0.9330880728874675, 'colsample_bytree': 0.8005575058716043, 'min_child_weight': 8}"
2,0.8801359831991928,"{'max_depth': 3, 'learning_rate': 0.2526878207508456, 'subsample': 0.9162213204002109, 'colsample_bytree': 0.6061695553391381, 'min_child_weight': 2}"
3,0.7179675524919884,"{'max_depth': 4, 'learning_rate': 0.005670807781371429, 'subsample': 0.762378215816119, 'colsample_bytree': 0.7159725093210578, 'min_child_weight': 3}"
4,0.6986398682015076,"{'max_depth': 7, 'learning_rate': 0.0022158645374549917, 'subsample': 0.6460723242676091, 'colsample_bytree': 0.6831809216468459, 'min_child_weight': 5}"
5,0.7926405831196023,"{'max_depth': 9, 'learning_rate': 0.003123317753376431, 'subsample': 0.7571172192068059, 'colsample_bytree': 0.7962072844310213, 'min_child_weight': 1}"
6,0.7169770457314422,"{'max_depth': 7, 'learning_rate': 0.0026448980183927102, 'subsample': 0.5325257964926398, 'colsample_bytree': 0.9744427686266666, 'min_child_weight': 10}"
7,0.8340689928534077,"{'max_depth': 9, 'learning_rate': 0.0056828375585122656, 'subsample': 0.5488360570031919, 'colsample_bytree': 0.8421165132560784, 'min_child_weight': 5}"
8,0.7899781899009827,"{'max_depth': 3, 'learning_rate': 0.016850517723339092, 'subsample': 0.5171942605576092, 'colsample_bytree': 0.954660201039391, 'min_child_weight': 3}"
9,0.8318858283277082,"{'max_depth': 8, 'learning_rate': 0.005917607170144194, 'subsample': 0.7600340105889054, 'colsample_bytree': 0.7733551396716398, 'min_child_weight': 2}"
10,0.8887309520110711,"{'max_depth': 5, 'learning_rate': 0.2045560306698166, 'subsample': 0.8480589016791604, 'colsample_bytree': 0.5089809378074097, 'min_child_weight': 7}"
11,0.8764163914336826,"{'max_depth': 5, 'learning_rate': 0.27293821904320975, 'subsample': 0.8562720034509756, 'colsample_bytree': 0.5427925342039944, 'min_child_weight': 7}"
12,0.8908582020998888,"{'max_depth': 5, 'learning_rate': 0.08347346954964066, 'subsample': 0.8396946582881742, 'colsample_bytree': 0.5259599101527722, 'min_child_weight': 7}"
13,0.8889652414046116,"{'max_depth': 6, 'learning_rate': 0.07759856608816115, 'subsample': 0.9980211271427066, 'colsample_bytree': 0.5021577654211222, 'min_child_weight': 7}"
14,0.8897444646674633,"{'max_depth': 6, 'learning_rate': 0.06736010235285086, 'subsample': 0.9982329438368657, 'colsample_bytree': 0.6044320776354288, 'min_child_weight': 9}"
15,0.8868816776402949,"{'max_depth': 6, 'learning_rate': 0.05164982782272367, 'subsample': 0.9980082658737177, 'colsample_bytree': 0.6167949241358955, 'min_child_weight': 10}"
16,0.8908067229248356,"{'max_depth': 10, 'learning_rate': 0.04960492262993972, 'subsample': 0.6320761624720567, 'colsample_bytree': 0.6033672001374102, 'min_child_weight': 9}"
17,0.8864643462497338,"{'max_depth': 10, 'learning_rate': 0.027433746223763694, 'subsample': 0.6614890415037518, 'colsample_bytree': 0.6666266870066514, 'min_child_weight': 8}"
18,0.8824726756192732,"{'max_depth': 10, 'learning_rate': 0.020685147614355488, 'subsample': 0.6671916836059372, 'colsample_bytree': 0.5636238876605039, 'min_child_weight': 6}"
19,0.8844467665966849,"{'max_depth': 8, 'learning_rate': 0.12381053221254727, 'subsample': 0.5943754678671533, 'colsample_bytree': 0.6582606560013167, 'min_child_weight': 9}"
20,0.890670119760322,"{'max_depth': 8, 'learning_rate': 0.03927931242118696, 'subsample': 0.7109960721884869, 'colsample_bytree': 0.5661374094737259, 'min_child_weight': 6}"
21,0.888783255356648,"{'max_depth': 9, 'learning_rate': 0.03202302609297698, 'subsample': 0.7030160519163754, 'colsample_bytree': 0.5712684881178105, 'min_child_weight': 6}"
22,0.8636354079554849,"{'max_depth': 8, 'learning_rate': 0.012483574093265353, 'subsample': 0.8100744538922787, 'colsample_bytree': 0.548932424403376, 'min_child_weight': 8}"
23,0.8760129227167341,"{'max_depth': 10, 'learning_rate': 0.11500129689823087, 'subsample': 0.6105207578188487, 'colsample_bytree': 0.629766343793396, 'min_child_weight': 4}"
24,0.8903934108567958,"{'max_depth': 7, 'learning_rate': 0.04021937073900041, 'subsample': 0.6940129876075797, 'colsample_bytree': 0.5277295085322986, 'min_child_weight': 9}"
25,0.8794280577199771,"{'max_depth': 9, 'learning_rate': 0.10688806294020385, 'subsample': 0.8087496402500101, 'colsample_bytree': 0.9093784190410645, 'min_child_weight': 6}"
26,0.8545215944543233,"{'max_depth': 8, 'learning_rate': 0.010021548006327576, 'subsample': 0.7145139506750299, 'colsample_bytree': 0.7105466539025851, 'min_child_weight': 7}"
27,0.8802163733975612,"{'max_depth': 4, 'learning_rate': 0.05178973336778831, 'subsample': 0.6020914931801977, 'colsample_bytree': 0.5821390526567779, 'min_child_weight': 5}"
28,0.8832571994214966,"{'max_depth': 10, 'learning_rate': 0.024934314850873048, 'subsample': 0.7955588074861941, 'colsample_bytree': 0.6394039014557493, 'min_child_weight': 8}"
29,0.8897864644905229,"{'max_depth': 5, 'learning_rate': 0.13976118089410192, 'subsample': 0.905844864177943, 'colsample_bytree': 0.7276774884832651, 'min_child_weight': 4}"
