feature,importance
fp_767,1004.0623168945312
fp_902,979.6875
fp_144,807.1138305664062
fp_380,793.1209106445312
fp_842,779.1365966796875
fp_475,707.4741821289062
fp_100,659.2413940429688
fp_387,610.0928955078125
col720,608.2398681640625
fp_925,576.6253051757812
fp_193,558.8389892578125
fp_464,519.1786499023438
fp_741,476.8795471191406
col799,457.21881103515625
col802,434.4770202636719
fp_469,431.1373596191406
fp_950,414.8255920410156
fp_778,402.5268249511719
fp_488,391.7373962402344
fp_889,376.85369873046875
fp_579,376.4119873046875
fp_707,368.44268798828125
fp_99,362.0977783203125
col472,359.03033447265625
fp_744,319.5232849121094
fp_228,315.7220764160156
fp_237,312.720947265625
fp_498,310.75836181640625
fp_335,300.8865966796875
fp_809,299.73480224609375
fp_121,289.7620849609375
fp_610,277.37554931640625
fp_84,267.8819274902344
fp_753,267.0771789550781
fp_5,264.84417724609375
col756,264.6927185058594
col57,257.8974914550781
fp_145,253.958984375
fp_935,250.20230102539062
fp_592,250.12806701660156
fp_135,247.17510986328125
fp_623,235.7761688232422
fp_252,235.13270568847656
fp_258,233.41143798828125
col476,230.2889404296875
col346,224.77630615234375
fp_392,223.59063720703125
fp_802,222.61961364746094
fp_715,221.78001403808594
fp_324,219.5636749267578
fp_859,217.63232421875
fp_796,213.9434814453125
col349,208.63427734375
col633,205.28135681152344
fp_926,201.49937438964844
logP,200.72390747070312
fp_456,198.40744018554688
fp_190,194.08863830566406
fp_739,187.916748046875
fp_593,185.80801391601562
fp_790,183.42529296875
fp_320,182.6085968017578
fp_418,178.4453887939453
col316,176.96470642089844
fp_293,174.29168701171875
col722,173.9250030517578
col753,173.39474487304688
fp_73,172.50765991210938
fp_985,168.09759521484375
fp_261,167.99716186523438
fp_446,166.02764892578125
col736,164.3453369140625
fp_147,163.18138122558594
col90,161.23147583007812
col163,158.46405029296875
fp_285,155.39622497558594
fp_917,153.96966552734375
fp_279,153.4928436279297
fp_613,151.86495971679688
fp_448,150.97811889648438
fp_528,150.7825469970703
fp_890,149.85321044921875
col809,149.813720703125
col772,149.58531188964844
fp_496,143.66299438476562
fp_371,139.2775115966797
fp_585,139.0299072265625
fp_525,136.21295166015625
fp_674,136.21075439453125
fp_963,134.9098663330078
fp_140,134.427734375
col347,133.80242919921875
fp_354,132.8277130126953
fp_543,132.63491821289062
fp_188,131.93887329101562
fp_733,130.6543731689453
fp_887,129.855712890625
fp_102,127.78119659423828
fp_806,127.03838348388672
fp_807,126.61155700683594
col87,125.20659637451172
fp_36,123.30060577392578
fp_906,121.75428009033203
fp_788,121.247802734375
col793,121.13421630859375
fp_38,120.50865173339844
fp_694,120.3975830078125
fp_604,117.94615173339844
fp_45,116.91650390625
fp_208,116.3369140625
fp_221,113.36186218261719
fp_716,112.7984390258789
fp_746,112.28009033203125
fp_412,111.5541000366211
fp_134,110.78609466552734
fp_997,110.46361541748047
fp_90,109.05936431884766
fp_179,108.19803619384766
fp_114,108.06060028076172
fp_92,107.94052124023438
fp_818,107.09615325927734
fp_927,106.88733673095703
fp_14,106.86024475097656
fp_207,106.52471923828125
col811,106.18075561523438
fp_571,105.29113006591797
fp_124,104.69076538085938
fp_443,104.51508331298828
fp_429,103.33380126953125
col475,103.23828887939453
fp_626,102.59400939941406
fp_977,101.48499298095703
fp_801,101.10649108886719
col767,96.17051696777344
fp_700,95.762939453125
fp_747,95.04946899414062
fp_565,94.73126983642578
fp_650,94.04834747314453
fp_1019,93.98429107666016
fp_236,93.70974731445312
fp_203,93.34695434570312
fp_304,92.46015930175781
fp_377,91.82492065429688
fp_8,91.63290405273438
fp_60,91.22205352783203
fp_544,89.9522705078125
fp_942,87.89071655273438
fp_216,86.45545196533203
fp_230,85.76614379882812
fp_986,85.58214569091797
fp_142,84.66524505615234
col325,83.76884460449219
col162,82.73423767089844
fp_838,81.63263702392578
fp_2,80.9903793334961
fp_939,80.77193450927734
fp_393,80.64887237548828
fp_620,80.19511413574219
fp_136,79.69563293457031
fp_72,79.10906982421875
fp_497,78.3375473022461
fp_326,77.62181854248047
fp_115,77.132568359375
fp_734,76.63650512695312
fp_951,76.4888916015625
fp_1004,75.89515686035156
col336,75.69326782226562
fp_786,75.18557739257812
col408,74.57493591308594
fp_276,74.50617218017578
fp_378,73.37705993652344
fp_581,73.193115234375
fp_381,72.38009643554688
fp_287,71.20929718017578
fp_111,70.9658203125
fp_704,70.82994079589844
fp_95,69.8470687866211
fp_730,69.67152404785156
fp_938,69.53099822998047
fp_976,68.86012268066406
fp_1013,68.73442840576172
fp_401,68.5662841796875
fp_171,67.91793060302734
fp_201,67.6651840209961
fp_154,66.52837371826172
fp_214,66.3016128540039
fp_853,64.9847183227539
fp_580,64.97410583496094
H_bond_donors,64.90593719482422
fp_947,64.44243621826172
col167,64.30607604980469
col58,63.965660095214844
MolWt,63.84722137451172
fp_41,63.619911193847656
fp_17,63.17332077026367
fp_231,62.7666130065918
fp_431,62.7636604309082
fp_325,62.018714904785156
fp_219,61.56746292114258
col106,61.244384765625
TPSA,61.2359619140625
fp_936,61.07413101196289
fp_647,60.48447799682617
fp_15,60.24623107910156
fp_268,60.19392395019531
fp_344,59.884033203125
fp_698,59.53410339355469
fp_511,58.94963836669922
fp_480,58.54574203491211
fp_1017,57.15545654296875
col60,57.12907409667969
fp_421,56.974281311035156
col265,55.9700927734375
fp_795,55.50890350341797
col737,54.76200866699219
fp_787,54.749202728271484
fp_526,53.71175003051758
fp_667,53.69792938232422
col403,53.61621856689453
fp_407,53.537078857421875
fp_367,53.06513977050781
fp_723,52.08199691772461
fp_749,52.01836013793945
fp_792,51.43828582763672
fp_339,50.364566802978516
fp_522,50.31129455566406
fp_691,50.045806884765625
fp_619,49.76955795288086
fp_196,49.429412841796875
fp_200,49.10039138793945
fp_659,49.02446365356445
col781,48.95368194580078
fp_63,48.95071792602539
fp_546,48.88469314575195
fp_558,48.73689270019531
fp_202,48.633358001708984
fp_570,48.45598602294922
fp_697,48.39017868041992
fp_562,48.284141540527344
fp_564,48.23881530761719
fp_552,48.0651969909668
fp_676,47.191463470458984
col758,47.022029876708984
fp_1002,46.871395111083984
fp_391,46.1980094909668
col810,46.13176345825195
fp_9,45.717620849609375
fp_423,45.62152862548828
fp_34,45.54862594604492
fp_896,45.42234802246094
fp_366,45.085838317871094
fp_160,44.967037200927734
fp_830,44.59694290161133
fp_224,44.59272003173828
fp_131,43.90338897705078
fp_561,43.673160552978516
col808,43.407352447509766
fp_119,43.149166107177734
fp_331,43.0013427734375
fp_138,42.962242126464844
fp_799,42.77811813354492
col470,42.71661376953125
fp_50,42.4781379699707
fp_911,42.41103744506836
fp_19,41.447593688964844
fp_240,40.99567794799805
fp_868,40.97863006591797
fp_169,40.19144058227539
fp_855,39.61452865600586
col471,39.39802932739258
fp_491,39.335411071777344
fp_658,39.308223724365234
fp_910,37.87871551513672
fp_813,37.8664436340332
fp_924,37.797298431396484
fp_318,37.790687561035156
fp_184,37.422096252441406
fp_841,37.1329460144043
col794,36.701698303222656
fp_679,36.61855697631836
fp_772,36.53367614746094
fp_273,36.20816421508789
fp_484,36.113033294677734
fp_96,36.09278106689453
fp_931,36.07456970214844
fp_319,35.92409896850586
fp_197,35.436397552490234
fp_46,35.328556060791016
fp_458,35.23668670654297
fp_878,35.20600509643555
fp_383,35.078067779541016
fp_76,34.87559127807617
col348,34.336360931396484
fp_64,34.13972854614258
col517,34.07141876220703
fp_218,33.8513298034668
fp_301,33.784202575683594
fp_343,33.38450241088867
fp_281,33.20793533325195
fp_798,32.46671676635742
fp_832,32.348060607910156
fp_549,32.130653381347656
fp_75,32.072296142578125
col462,31.920780181884766
fp_26,31.902664184570312
fp_157,31.868396759033203
fp_990,31.656126022338867
fp_500,31.407957077026367
fp_54,31.232330322265625
fp_176,30.9891300201416
fp_1018,30.86610221862793
fp_768,30.737478256225586
fp_249,30.653732299804688
col72,30.16928482055664
fp_755,30.134136199951172
fp_646,30.053632736206055
fp_305,29.999120712280273
fp_327,29.819211959838867
fp_621,29.37004280090332
fp_712,29.20937728881836
fp_463,29.020517349243164
fp_1023,28.509708404541016
fp_831,28.473491668701172
fp_361,28.3741455078125
fp_766,28.20871353149414
fp_353,27.781679153442383
fp_364,27.754043579101562
fp_695,27.442508697509766
col350,27.422969818115234
fp_315,27.352943420410156
fp_954,27.3416748046875
fp_835,27.33782196044922
fp_313,27.31310272216797
col426,27.248716354370117
fp_617,27.207725524902344
fp_350,27.156152725219727
fp_422,27.126018524169922
fp_125,27.071184158325195
fp_394,26.96349334716797
fp_105,26.87466049194336
fp_289,26.74768829345703
fp_587,26.724090576171875
fp_794,26.688676834106445
fp_194,26.210132598876953
fp_94,26.062585830688477
fp_904,25.919239044189453
fp_213,25.879192352294922
fp_232,25.6390438079834
fp_173,25.485204696655273
fp_166,25.47834587097168
fp_248,25.39486312866211
fp_672,25.268728256225586
fp_820,25.217472076416016
fp_682,24.78866958618164
fp_112,24.62413215637207
fp_310,24.60688018798828
fp_732,24.594911575317383
fp_583,24.538761138916016
fp_42,24.526077270507812
fp_175,24.376779556274414
fp_346,24.331323623657227
fp_428,24.03272247314453
fp_39,23.824352264404297
fp_1012,23.627464294433594
fp_625,23.610143661499023
fp_888,23.581254959106445
fp_523,23.395477294921875
fp_882,23.324508666992188
fp_70,23.24306869506836
fp_4,23.124486923217773
col718,23.102060317993164
fp_191,23.090003967285156
fp_139,22.84457015991211
col792,22.534608840942383
col81,22.327133178710938
fp_605,22.30922508239746
fp_885,22.249881744384766
fp_573,22.213970184326172
fp_893,22.200716018676758
fp_699,21.902973175048828
fp_881,21.896772384643555
fp_77,21.846378326416016
fp_149,21.734621047973633
fp_897,21.522663116455078
col712,21.411165237426758
col774,21.268997192382812
fp_360,21.24979591369629
fp_235,21.188678741455078
fp_527,21.173744201660156
