trial,val_r2_mean,params
0,0.8423528095250711,"{'max_depth': 5, 'learning_rate': 0.22648248189516848, 'subsample': 0.8659969709057025, 'colsample_bytree': 0.7993292420985183, 'min_child_weight': 2}"
1,0.5241985218869938,"{'max_depth': 4, 'learning_rate': 0.0013927723945289009, 'subsample': 0.9330880728874675, 'colsample_bytree': 0.8005575058716043, 'min_child_weight': 8}"
2,0.8566146680090353,"{'max_depth': 3, 'learning_rate': 0.2526878207508456, 'subsample': 0.9162213204002109, 'colsample_bytree': 0.6061695553391381, 'min_child_weight': 2}"
3,0.7553979375467255,"{'max_depth': 4, 'learning_rate': 0.005670807781371429, 'subsample': 0.762378215816119, 'colsample_bytree': 0.7159725093210578, 'min_child_weight': 3}"
4,0.7147829867493706,"{'max_depth': 7, 'learning_rate': 0.0022158645374549917, 'subsample': 0.6460723242676091, 'colsample_bytree': 0.6831809216468459, 'min_child_weight': 5}"
5,0.7813507452555487,"{'max_depth': 9, 'learning_rate': 0.003123317753376431, 'subsample': 0.7571172192068059, 'colsample_bytree': 0.7962072844310213, 'min_child_weight': 1}"
6,0.7214721167157249,"{'max_depth': 7, 'learning_rate': 0.0026448980183927102, 'subsample': 0.5325257964926398, 'colsample_bytree': 0.9744427686266666, 'min_child_weight': 10}"
7,0.8231922916018425,"{'max_depth': 9, 'learning_rate': 0.0056828375585122656, 'subsample': 0.5488360570031919, 'colsample_bytree': 0.8421165132560784, 'min_child_weight': 5}"
8,0.8170807411519544,"{'max_depth': 3, 'learning_rate': 0.016850517723339092, 'subsample': 0.5171942605576092, 'colsample_bytree': 0.954660201039391, 'min_child_weight': 3}"
9,0.8188054865755667,"{'max_depth': 8, 'learning_rate': 0.005917607170144194, 'subsample': 0.7600340105889054, 'colsample_bytree': 0.7733551396716398, 'min_child_weight': 2}"
10,0.8550728398875527,"{'max_depth': 5, 'learning_rate': 0.20438492173097447, 'subsample': 0.9847685553939328, 'colsample_bytree': 0.5148027085118481, 'min_child_weight': 7}"
11,0.8409009501285521,"{'max_depth': 5, 'learning_rate': 0.2745225744592397, 'subsample': 0.9899050550102803, 'colsample_bytree': 0.5199086519616609, 'min_child_weight': 7}"
12,0.8614344546585242,"{'max_depth': 3, 'learning_rate': 0.08347346954964066, 'subsample': 0.8900061102475161, 'colsample_bytree': 0.5149340702175953, 'min_child_weight': 7}"
13,0.8512436377832807,"{'max_depth': 3, 'learning_rate': 0.07759856608816115, 'subsample': 0.8590018418911302, 'colsample_bytree': 0.6096260017004342, 'min_child_weight': 9}"
14,0.8502382759647623,"{'max_depth': 3, 'learning_rate': 0.05105823178669672, 'subsample': 0.8793581458954943, 'colsample_bytree': 0.6101096153098642, 'min_child_weight': 6}"
15,0.8586745828641992,"{'max_depth': 6, 'learning_rate': 0.08168892465350028, 'subsample': 0.8223972680035054, 'colsample_bytree': 0.5937663157166836, 'min_child_weight': 4}"
16,0.8463384012876921,"{'max_depth': 10, 'learning_rate': 0.06261387305880094, 'subsample': 0.8183479639534449, 'colsample_bytree': 0.5830685608221328, 'min_child_weight': 4}"
17,0.8570023534388738,"{'max_depth': 6, 'learning_rate': 0.02252332867090104, 'subsample': 0.651723150444279, 'colsample_bytree': 0.6752604627796404, 'min_child_weight': 6}"
18,0.8511199187120865,"{'max_depth': 6, 'learning_rate': 0.125589131357791, 'subsample': 0.6859870832972257, 'colsample_bytree': 0.5550530917136829, 'min_child_weight': 4}"
19,0.850634061671818,"{'max_depth': 4, 'learning_rate': 0.0288740018971307, 'subsample': 0.814638871157803, 'colsample_bytree': 0.6520814964284805, 'min_child_weight': 8}"
20,0.8457183349282614,"{'max_depth': 8, 'learning_rate': 0.11073692053322776, 'subsample': 0.8046299781052562, 'colsample_bytree': 0.5123481594363553, 'min_child_weight': 7}"
21,0.8605264120161251,"{'max_depth': 6, 'learning_rate': 0.03174583303330869, 'subsample': 0.6599396951395974, 'colsample_bytree': 0.6629999758779136, 'min_child_weight': 6}"
22,0.8620430326475986,"{'max_depth': 6, 'learning_rate': 0.03651716544144934, 'subsample': 0.7100011006116036, 'colsample_bytree': 0.5570141323558446, 'min_child_weight': 4}"
23,0.8616707662416129,"{'max_depth': 7, 'learning_rate': 0.040456892775813574, 'subsample': 0.6920742520010011, 'colsample_bytree': 0.549901521697695, 'min_child_weight': 6}"
24,0.8576446078542193,"{'max_depth': 8, 'learning_rate': 0.041287215822001955, 'subsample': 0.7132151717728974, 'colsample_bytree': 0.5487300759446586, 'min_child_weight': 8}"
25,0.854789334282166,"{'max_depth': 9, 'learning_rate': 0.015569053312500584, 'subsample': 0.5980622444575231, 'colsample_bytree': 0.5573063543923379, 'min_child_weight': 5}"
26,0.8368634538129689,"{'max_depth': 7, 'learning_rate': 0.010021548006327576, 'subsample': 0.7145139506750299, 'colsample_bytree': 0.9082676340052684, 'min_child_weight': 7}"
27,0.8583817624429241,"{'max_depth': 5, 'learning_rate': 0.11375813798741569, 'subsample': 0.6020914931801977, 'colsample_bytree': 0.7268302678751436, 'min_child_weight': 9}"
28,0.8618245826221052,"{'max_depth': 7, 'learning_rate': 0.0397571783312202, 'subsample': 0.7170230224478612, 'colsample_bytree': 0.5012643808236412, 'min_child_weight': 6}"
29,0.8424215159264934,"{'max_depth': 7, 'learning_rate': 0.01133699577985403, 'subsample': 0.7199707341121495, 'colsample_bytree': 0.6421613148586554, 'min_child_weight': 3}"
